fish,Npings_all,Npings_filtered,PropRemaining
BUR001,115,0,0
BUR002,173,0,0
LWF004,331,0,0
LWF005,492,0,0
LWF006,451,0,0
SMB003,1034,0,0
LT010,1932,16,0.01
LT013,2540,32,0.01
LT015,3182,32,0.01
LWF003,779,33,0.04
LWF007,2627,103,0.04
SMB005,1014,48,0.05
LWF002,881,53,0.06
LT009,2977,320,0.11
LT012,1534,170,0.11
SMB001,4097,446,0.11
SMB004,1804,228,0.13
LT001,485,66,0.14
LT011,1878,284,0.15
SMB002,2004,316,0.16
LT003,3983,668,0.17
LWF001,3856,703,0.18
LWF011,1667,314,0.19
SMB011,95,25,0.26
LT016,3982,1086,0.27
SMB006,3912,1071,0.27
LT019,609,209,0.34
LT014,3886,1379,0.35
LT020,585,213,0.36
LT021,364,132,0.36
SMB010,159,59,0.37
LT008,479,183,0.38
LT017,1040,403,0.39
SMB008,739,292,0.4
SMB012,183,73,0.4
LWF012,693,283,0.41
LT004,1066,463,0.43
LT006,320,140,0.44
LWF010,790,349,0.44
SMB007,636,278,0.44
SMB013,440,192,0.44
LWF013,946,422,0.45
SMB009,31,14,0.45
LT018,124,60,0.48
LT007,729,355,0.49
LWF009,631,310,0.49
LT002,1502,750,0.5
LT005,585,309,0.53
LWF015,130,69,0.53
LWF014,2753,1619,0.59
